symbol,date,universe,dayTypeHint,openType,gap,volatility,participation,catalyst,relative,gapPct,rangeAtr,rvol,closeLoc,retPct,spyRetPct,status,notes
AAPL,2026-07-22,single_name,non_trend,open_test_drive,gap_none,vol_normal,rvol_low,,idiosyncratic,0.04,0.70,0.59,0.45,-0.56,-0.12,proposed,openType hint — confirm L1/L2 on chart (daily + 5m open)
NVDA,2026-07-22,single_name,normal,open_test_drive,gap_and_fade,vol_normal,rvol_normal,,leader,-0.72,1.27,0.94,0.75,2.30,-0.12,proposed,openType hint — confirm L1/L2 on chart (daily + 5m open)
QQQ,2026-07-22,tape_index,non_trend,open_test_drive,gap_partial,vol_contract,rvol_low,,idiosyncratic,-0.75,0.44,0.57,0.28,-0.51,-0.12,proposed,openType hint — confirm L1/L2 on chart (daily + 5m open)
SPY,2026-07-22,tape_index,non_trend,open_drive,gap_partial,vol_contract,rvol_low,,,-0.22,0.52,0.64,0.28,-0.12,-0.12,proposed,openType hint — confirm L1/L2 on chart (daily + 5m open)
TSLA,2026-07-22,single_name,non_trend,open_rejection_reverse,gap_partial,vol_contract,rvol_low,,laggard,-0.94,0.44,0.69,0.15,-1.30,-0.12,proposed,openType hint — confirm L1/L2 on chart (daily + 5m open)
AAPL,2026-07-21,single_name,normal,open_test_drive,gap_and_fade,vol_normal,rvol_low,,idiosyncratic,-1.06,0.90,0.63,0.75,0.35,0.83,proposed,openType hint — confirm L1/L2 on chart (daily + 5m open)
NVDA,2026-07-21,single_name,non_trend,open_test_drive,gap_and_go,vol_normal,rvol_normal,,leader,2.10,0.64,0.79,0.71,1.97,0.83,proposed,openType hint — confirm L1/L2 on chart (daily + 5m open)
QQQ,2026-07-21,tape_index,non_trend,open_auction,gap_and_go,vol_contract,rvol_normal,,leader,1.51,0.51,0.83,0.85,1.85,0.83,proposed,openType hint — confirm L1/L2 on chart (daily + 5m open)
SPY,2026-07-21,tape_index,non_trend,open_auction,gap_and_go,vol_normal,rvol_low,,,0.57,0.67,0.67,0.84,0.83,0.83,proposed,openType hint — confirm L1/L2 on chart (daily + 5m open)
TSLA,2026-07-21,single_name,neutral,open_drive,gap_and_go,vol_normal,rvol_normal,,leader,0.43,0.82,0.80,0.64,2.53,0.83,proposed,openType hint — confirm L1/L2 on chart (daily + 5m open)
AAPL,2026-07-20,single_name,normal,open_drive,gap_none,vol_normal,rvol_normal,,laggard,-0.07,1.20,0.79,0.29,-2.14,-0.16,proposed,openType hint — confirm L1/L2 on chart (daily + 5m open)
NVDA,2026-07-20,single_name,normal,open_test_drive,gap_partial,vol_normal,rvol_low,,idiosyncratic,1.51,0.75,0.61,0.18,0.23,-0.16,proposed,openType hint — confirm L1/L2 on chart (daily + 5m open)
QQQ,2026-07-20,tape_index,normal,open_test_drive,gap_and_go,vol_normal,rvol_normal,,beta_proxy,0.98,0.73,0.71,0.05,0.10,-0.16,proposed,openType hint — confirm L1/L2 on chart (daily + 5m open)
SPY,2026-07-20,tape_index,normal,open_test_drive,gap_and_fade,vol_normal,rvol_normal,,,0.51,0.99,0.96,0.08,-0.16,-0.16,proposed,openType hint — confirm L1/L2 on chart (daily + 5m open)
TSLA,2026-07-20,single_name,normal,open_drive,gap_and_fade,vol_normal,rvol_normal,,laggard,1.37,0.98,0.81,0.01,-2.96,-0.16,proposed,openType hint — confirm L1/L2 on chart (daily + 5m open)
